\a.a,235,1,0
(\a.aa)(\a.aa),20,1,1
(\a.aa)(\a.aa)((\a.aa)(\a.aa)),1,1,2
\a.(\b.a)a,495,2,1
(\a.aaa)(\a.aa),5,2,2
(\ab.b)((\a.aa)(\a.aa)),4,2,2
(\a.a)((\a.aa)(\a.aa)),26,2,3
(\a.aa(aa))(\a.aa),1,2,3
(\a.aa)((\a.aa)(\a.aa)),4,2,4
(\a.aaa)((\a.aa)(\a.aa)),3,2,5
(\a.aa(aa))((\a.aa)(\a.aa)),1,2,6
(\a.aa)(\a.a),300,3,2
\a.(\b.a)((\b.a)a),112,3,3
(\a.(\b.b)a)(\a.a),26,3,3
(\a.a)(\a.a)(\a.aa)(\a.aa),1,3,3
(\a.a(\b.a))(\a.aaa),1,3,3
(\a.a)(\ab.b)((\a.aa)(\a.aa)),5,3,4
(\a.a)(\a.a)((\a.aa)(\a.aa)),13,3,5
(\a.a(aa))(\a.aa),1,3,5
(\a.(\b.b)(aa))(\a.aa),1,3,5
(\a.(\b.b)a)((\a.aa)(\a.aa)),2,3,6
(\a.a)(\a.aa)((\a.aa)(\a.aa)),1,3,6
(\a.aa)(\a.aa)((\ab.b)((\a.a)(\a.a))),1,3,6
(\a.aaa)(\a.a),147,4,3
(\a.a)(\a.(\b.a)a),240,4,4
(\a.a)((\a.a)(\a.a))(\a.a),18,4,4
(\ab.b)((\a.a)(\a.a))(\a.a),18,4,4
(\a.a(aa))(\ab.b),4,4,4
(\a.a(aa))(\a.a),1,4,4
(\ab.b)((\a.aa)(\a.a)),28,4,5
(\a.(\b.a)(aa))(\a.aa),1,4,5
(\ab.b)((\a.a)((\a.a)(\a.a))),4,4,6
(\ab.b)((\ab.b)((\a.a)(\a.a))),4,4,6
(\a.aa)(\ab.a)((\a.aa)(\a.aa)),2,4,6
(\a.a)(\a.aa)((\a.a)(\a.aa)),1,4,6
(\a.a)((\a.a)((\a.a)(\a.a))),1,4,6
(\a.aa)((\a.a)(\a.aa)),1,4,6
